id_municipio,rede,diretoria,id_escola,id_escola_sp,nivel_socio_economico
3548906,estadual,SAO CARLOS,35906773,906773,4.51
3550308,estadual,NORTE 2,35906797,906797,6.13
3550308,estadual,NORTE 2,35906803,906803,2.22
3553955,estadual,ASSIS,35906815,906815,4.14
3538808,estadual,PIRAJU,35906827,906827,5.14
3546405,estadual,OURINHOS,35906839,906839,5.77
3554201,estadual,PIRAJU,35906840,906840,7.52
3518701,estadual,SANTOS,35906931,906931,7.12
3550308,estadual,LESTE 1,35906955,906955,4.23
3550308,estadual,LESTE 3,35906967,906967,3.9
3527108,estadual,LINS,35906979,906979,6.03
3550308,estadual,LESTE 3,35906980,906980,3.47
3550308,estadual,LESTE 1,35907005,907005,5.46
3550308,estadual,LESTE 3,35907017,907017,4.57
3550308,estadual,LESTE 3,35907029,907029,5.09
3539806,estadual,ITAQUAQUECETUBA,35907030,907030,5.94
3547809,estadual,SANTO ANDRE,35907066,907066,5.52
3518800,estadual,GUARULHOS SUL,35907078,907078,5.7
3518800,estadual,GUARULHOS SUL,35907085,907085,4.66
3518800,estadual,GUARULHOS NORTE,35907091,907091,4.83
3550308,estadual,NORTE 1,35907108,907108,3.97
3550308,estadual,LESTE 4,35907112,907112,3.79
3529401,estadual,MAUA,35907121,907121,4.89
3519709,estadual,SAO ROQUE,35907133,907133,6.19
3550308,estadual,LESTE 2,35907157,907157,5.83
3549805,estadual,SAO JOSE DO RIO PRETO,35907169,907169,4.89
3547809,estadual,SANTO ANDRE,35907170,907170,2.88
3548708,estadual,SAO BERNARDO DO CAMPO,35907182,907182,4.26
3550308,estadual,SUL 3,35907194,907194,3.83
3527207,estadual,GUARATINGUETA,35907200,907200,6.38
3544103,estadual,MAUA,35907212,907212,6.22
3502804,estadual,ARACATUBA,35907224,907224,4.76
3502804,estadual,ARACATUBA,35907236,907236,4.78
3518206,estadual,ARACATUBA,35907248,907248,5.05
3501608,estadual,AMERICANA,35907285,907285,3.83
3501608,estadual,AMERICANA,35907297,907297,3.16
3504107,estadual,BRAGANCA PAULISTA,35907315,907315,5.21
3507605,estadual,BRAGANCA PAULISTA,35907327,907327,5.22
3507605,estadual,BRAGANCA PAULISTA,35907340,907340,4.53
3509502,estadual,CAMPINAS OESTE,35907352,907352,3.65
3509502,estadual,CAMPINAS LESTE,35907364,907364,3.3
3509502,estadual,CAMPINAS OESTE,35907376,907376,5.07
3509502,estadual,CAMPINAS OESTE,35907388,907388,5.98
3509502,estadual,CAMPINAS OESTE,35907397,907397,6.46
3509502,estadual,CAMPINAS OESTE,35907406,907406,2.99
3509502,estadual,CAMPINAS LESTE,35907418,907418,5.72
3520509,estadual,CAPIVARI,35907424,907424,2.7
3523800,estadual,SAO JOAO DA BOA VISTA,35907431,907431,6.21
3526704,estadual,PIRASSUNUNGA,35907467,907467,4.57
3537107,estadual,MOGI MIRIM,35907480,907480,5.18
3539301,estadual,PIRASSUNUNGA,35907492,907492,4.38
3539301,estadual,PIRASSUNUNGA,35907510,907510,5.84
3545803,estadual,AMERICANA,35907534,907534,4.8
3545803,estadual,AMERICANA,35907546,907546,4.19
3546306,estadual,PIRASSUNUNGA,35907558,907558,6.44
3519071,estadual,SUMARE,35907595,907595,4.69
3550308,estadual,SUL 1,35907637,907637,3.02
3529005,estadual,MARILIA,35907650,907650,5.51
3529005,estadual,MARILIA,35907662,907662,4.74
3544251,estadual,MIRANTE DO PARANAPANEMA,35907698,907698,6.97
3501707,estadual,ARARAQUARA,35907704,907704,4.43
3503208,estadual,ARARAQUARA,35907728,907728,2.61
3505500,estadual,BARRETOS,35907736,907736,3.44
3505500,estadual,BARRETOS,35907741,907741,5.18
3514007,estadual,TAQUARITINGA,35907789,907789,6.97
3516200,estadual,FRANCA,35907790,907790,4.26
3516200,estadual,FRANCA,35907807,907807,5.66
3516200,estadual,FRANCA,35907819,907819,5.96
3519303,estadual,SAO CARLOS,35907820,907820,4.81
